編號,科目,主題,七大原則,繁體中文,英文全名,英文縮寫,英文發音,核心目標,核心原理,定義,用途,應用場景,氣象與防災,農業漁業與畜牧,交通與物流,生產與製造（工業4.0）,科技金融與醫學,客服零售與生活,消防與公共安全
380,中科三,數值優化,-,全域最佳解,Global Optimum,-,FALSE,尋找系統最優點,成本函數的絕對最小值,在整個定義域內使目標函數達到最小（或最大）的值。,確保模型訓練達到完美收斂。,尋找一組神經網路權重，使整體誤差達到最低。,,,,,,,
381,中科三,深度學習,永續發展與福祉,卷積循環神經網路,Convolutional Recurrent Neural Network,CRNN,FALSE,處理序列影像數據,CNN 提取特徵 + RNN 處理序列,結合 CNN 與 RNN，先用 CNN 提取圖像空間特徵，再用 RNN 處理序列關係。,文字辨識 (OCR) 與語音識別。,掃描並讀取身份證上的連續文字。,環境監控：氣象站儀表板數字自動讀取數位化,精準養殖：水質感測器讀值自動記錄,智慧交通：車牌自動辨識（停車計費/違規舉牌）；物流：包裹條碼讀取,品質檢測：產品序號/批號自動讀取紀錄,金融科技：票據/合約文字自動擷取；智慧醫療：病歷表格數位化,智慧零售：電子發票/收據文字辨識,公共安全：車牌辨識輔助警方追蹤
382,中科三,深度學習,永續發展與福祉,卷積長短期記憶網路,Convolutional LSTM,ConvLSTM,FALSE,捕捉時空特徵,將卷積運算引入 LSTM 單元,在 LSTM 的狀態轉換中使用卷積而非矩陣乘法，能同時捕捉空間與時間信息。,降雨預報與視訊分析。,根據過去 1 小時的雷達圖預測接下來 15 分鐘的降雨位置。,氣象預報：強降雨量時序預測；ConvLSTM用於雷達回波短期降雨預報,智慧耕作：作物生長週期預測；精準養殖：水質時間序列異常偵測,智慧交通：車流量小時/日週期預測；智慧物流：配送時程預估,預測性維護：機台振動/溫度時序感測，預測故障,金融科技：股票/匯率時序預測；智慧醫療：生理訊號（ECG/腦波）分析,智慧零售：商品銷售時序預測（庫存自動補貨）,智慧消防：火災蔓延時序預測；設備溫度異常趨勢告警
383,中科三,深度學習,-,聯結主義時間分類,Connectionist Temporal Classification,CTC,FALSE,處理未對齊序列,引入空白字元與去重機制,允許神經網路在不知道輸入與輸出具體對齊位置的情況下進行序列訓練的損失函數。,語音辨識與手寫辨識。,將一段長短不一的語音波形轉錄為對應的文字。,,,,,,,
384,中科三,電腦視覺,永續發展與福祉,空間特徵提取,Spatial Feature Extraction,-,FALSE,辨識圖像局部結構,卷積核滑動窗口,透過濾波器（卷積核）從影像中自動識別邊緣、紋理及形狀等空間資訊的過程。,影像識別與目標檢測的基礎。,在自駕車影像中辨識出「停止」標誌的八角形特徵。,氣象預報：自駕系統結合即時路面積水/能見度警示,智慧耕作：農場自駕拖拉機自動施肥/犁田,自駕與輔助：自駕公車測試、ADAS駕駛輔助、疲勞駕駛偵測（核心場景）,製程優化：工廠內自駕AGV物料搬運,半導體：自駕晶片研發驗證場景,智慧生活：配送無人車/電動輪椅自駕輔助,智慧消防：救災自駕機器人進入火場偵測
385,中科三,深度學習,-,時間依賴建模,Temporal Dependency Modeling,-,FALSE,捕捉序列長程關係,循環連接或注意力機制,在序列數據（如文字、語音）中，建立當前狀態與過去（或未來）時間點數據之間關聯性的過程。,提升模型對長文本或長音頻的理解力。,在長文中理解「他」是指代前三段提到的某人。,,,,,,,
386,中科一,知名模型,永續發展與福祉,路徑語言模型,Pathways Language Model,PaLM,FALSE,實現高效大規模訓練,Pathways 異構運算架構,Google 開發的 540B 參數大模型，首次展示了在數千個 TPU 晶片上高效並行訓練的能力。,展現大規模參數帶來的湧現能力。,進行複雜的數學推理與代碼編寫。,,,,,,,
387,中科一,知名模型,永續發展與福祉,路徑語言模型 2,Pathways Language Model 2,PaLM 2,FALSE,提升推理與多語言能力,混合架構與多樣化語料,PaLM 的進化版（Gemini 的前身），在推理、編碼及多語言理解上大幅超越前作。,作為 Google 多項 AI 服務的底層大腦。,驅動早期版本的 Google Bard (現 Gemini)。,氣象預報：氣象報告文字自動生成；環境：民眾災害問答AI助理,智慧耕作：農民農業技術問答機器人；農業政策法規文件摘要,智慧物流：貨運文件智動摘要；客服：運輸問題AI即時回覆,製程優化：設備操作手冊問答系統；品質報告自動撰寫,金融科技：Robo-advisor個人化理財建議；智慧醫療：病歷摘要/醫療問答AI,智能客服：24H生成式AI郵件/聊天回覆；個人化購物推薦文案生成,公共安全：緊急應變知識問答機器人；消防法規自動查詢
388,中科二,提示工程,透明與可解釋,思維鏈提示,Chain-of-Thought Prompting,CoT,FALSE,提升複雜邏輯推理,誘導模型輸出中間步驟,透過在 Prompt 中加入「讓我們一步步思考」或範例步驟，引導模型展示推理過程的技術。,解決多步驟數學題或邏輯謎題。,要求 AI 計算複雜的稅務問題並列出計算過程。,,,,,,,
389,中科一,系統架構,永續發展與福祉,路徑架構,Pathways,-,FALSE,統一異構任務訓練,稀疏激發與高效調度,Google 的下一代 AI 架構，允許單一模型在數千個加速器上跨任務學習，且僅激活必要路徑。,提升巨型模型的訓練與推論效率。,同一個系統同時處理視覺、聽覺與文字任務。,,,,,,,
390,中科三,模型架構,-,稠密僅解碼變換器,Dense Decoder-only Transformer,-,FALSE,優化生成式任務,全參數連接解碼架構,模型每一層的參數在計算時都會被激活（非稀疏），且僅包含 Decoder 組件，適合自回歸生成。,構建如 GPT、PaLM 等生成式模型。,文本續寫、詩歌創作與對話生成。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
391,中科三,模型訓練,永續發展與福祉,多語言預訓練,Multilingual Pre-training,-,FALSE,實現跨語言遷移,多語種混合語料訓練,在訓練過程中使用數百種語言的數據，讓模型學會跨語言的通用語義表徵。,讓模型具備翻譯與跨語言理解能力。,使用英文訓練的模型能聽懂並回答中文問題。,,,,,,,
392,中科一,系統優化,永續發展與福祉,模型尺度擴展 (壁虎至獨角獸),Model Scaling (Gecko to Unicorn),-,FALSE,針對不同裝置優化效能,參數規模分級策略,PaLM 2 提出的四種尺寸規格，Gecko 極小可跑在手機，Unicorn 最大用於雲端重任務。,滿足從邊緣端到雲端的多元部署需求。,在手機本地運行 Gecko 進行私密簡訊摘要。,環境監控：感測器端即時PM2.5分析（不上傳雲端）；邊緣站即時地震預警運算,智慧耕作：田埂感測器本地即時土壤分析決策；畜牧：牲畜項圈端健康監測,自駕與輔助：車內ADAS即時障礙物偵測（低延遲）；路側單元即時車流分析,品質檢測：產線攝影機端即時瑕疵判斷；預測性維護：感測器端即時異常偵測,智慧醫療：手術室設備端即時生命徵象分析；穿戴裝置端健康偵測,智慧生活：智慧家電本地語音處理（保護隱私）；收銀端即時商品識別,智慧消防：煙霧感測器端即時火災判斷（斷網也能動）；監控攝影機端人臉比對
393,中科一,領域模型,永續發展與福祉,醫療 / 安全專用 PaLM,Med-PaLM 2 / Sec-PaLM,-,FALSE,專業領域精準化,領域知識微調與對齊,以 PaLM 2 為基礎，針對醫療醫學或資安領域進行深度微調的專家模型。,提供專業醫療諮詢或偵測網路攻擊代碼。,輔助醫生閱讀檢查報告或分析病毒行為。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
394,中科三,模型能力,永續發展與福祉,推理與編碼熟練度,Reasoning & Coding Proficiency,-,FALSE,衡量模型智力指標,邏輯架構與語法理解,衡量模型在解決邏輯悖論與撰寫、除錯程式碼方面的綜合能力水準。,評估模型是否具備解決高難度任務的潛力。,在編程競賽中測試 AI 生成演算法的能力。,,,,,,,
395,中科三,NLP 基礎,-,字幹提取,Stemming,-,FALSE,減少語彙維度,規則暴力去尾,"透過簡單的規則切除單字的後綴（如 ""running"" 變 ""run""），不考慮詞彙學意義。",基礎文本清洗與檢索優化。,在搜尋引擎中將「跑步」與「跑了」關聯在一起。,,,,,,,
396,中科三,NLP 基礎,-,詞形還原,Lemmatization,-,FALSE,精準還原字源,基於詞典與語法分析,"考慮上下文與詞性，將變體字還原為標準字典形式（如 ""better"" 還原為 ""good""）。",高品質的語意分析前處理。,在法律文件分析中精確統計核心詞彙頻率。,,,,,,,
397,中科三,NLP 基礎,永續發展與福祉,停用詞移除,Stopword Removal,-,FALSE,過濾無意義資訊,基於詞頻過濾表,"移除文本中出現頻率極高但對語意貢獻極小的詞（如 ""the"", ""is"", ""的"", ""了""）。",減少計算開銷，專注於關鍵詞。,關鍵詞提取前先過濾掉常見助詞。,,,,,,,
398,中科三,NLP 基礎,-,文本正規化,Text Normalization,-,FALSE,統一口徑與格式,字符串標準化處理,將文字轉換為統一標準格式（如全半形轉換、大小寫統一、日期格式統一）的過程。,提升後續模型處理的一致性。,"將 ""AI"", ""a.i."", ""Ai"" 全部統一為 ""AI""。",,,,,,,
399,中科三,NLP 基礎,-,詞袋模型,Bag of Words,BoW,FALSE,將文本數值化,統計詞頻而不計順序,忽略語法與順序，僅記錄文本中各個詞彙出現次數的表示法。,簡單的文本分類或垃圾郵件過濾。,計算郵件中「中獎」出現的次數來判定詐騙。,,,,,,,
400,中科三,NLP 基礎,-,詞向量化,Word Vectorization,-,FALSE,讓機器理解語意空間,將符號轉為數值向量,將離散的字詞轉換為連續空間中數值向量的過程，以便數學運算。,所有深度學習 NLP 任務的起點。,"將「貓」轉換為 [0.12, -0.54, ...] 的數組。",,,,,,,
401,中科三,深度學習,-,表徵學習,Representation Learning,-,FALSE,自動提取特徵,隱層特徵映射,讓模型自動從原始數據中學習出有效、低維度且具區別性的特徵表示。,取代人工特徵工程。,神經網路自動學會辨識影像中的邊緣而非手動定義。,環境監控：感測器端即時PM2.5分析（不上傳雲端）；邊緣站即時地震預警運算,智慧耕作：田埂感測器本地即時土壤分析決策；畜牧：牲畜項圈端健康監測,自駕與輔助：車內ADAS即時障礙物偵測（低延遲）；路側單元即時車流分析,品質檢測：產線攝影機端即時瑕疵判斷；預測性維護：感測器端即時異常偵測,智慧醫療：手術室設備端即時生命徵象分析；穿戴裝置端健康偵測,智慧生活：智慧家電本地語音處理（保護隱私）；收銀端即時商品識別,智慧消防：煙霧感測器端即時火災判斷（斷網也能動）；監控攝影機端人臉比對
402,中科三,NLP 理論,-,分佈假說,Distributional Hypothesis,-,FALSE,語意計算的基礎,靠鄰居定義含義,"語言學核心理念：出現在相似上下文中的詞，其語意也相近（""語境決定語意""）。",支撐 Word2Vec 等向量技術。,因為「漢堡」和「披薩」都出現在「吃」後面，所以它們向量相近。,,,,,,,
403,中科三,知名技術,-,-,Word2Vec,-,FALSE,學習靜態詞向量,淺層神經網路預測,Google 提出的技術，透過預測上下文來訓練詞向量，能捕捉到如「國王-男人=女王-女人」的關係。,早期 NLP 的基礎組件。,尋找與「咖啡」語意最接近的詞（如「拿鐵」）。,,,,,,,
404,中科三,NLP 基礎,-,靜態嵌入,Static Embeddings,-,FALSE,提供固定詞義表徵,一詞一向量 (固定 Lookup),"無論上下文為何，同一個字永遠對應同一個向量（如 Word2Vec, GloVe）。",快速語意搜尋。,缺點是無法區分「蘋果手機」和「吃蘋果」中的蘋果。,,,,,,,
405,中科三,模型架構,-,BERT 嵌入,BERT Embeddings,-,FALSE,捕捉深層語意特徵,Transformer 隱層輸出,從 BERT 模型中提取的向量，包含了豐富的雙向上下文資訊。,進行下游任務（如分類、NER）的特徵輸入。,利用 BERT 向量計算兩個句子的語意相似度。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
406,中科三,NLP 基礎,-,上下文相關嵌入,Contextualized Embeddings,-,FALSE,解決一詞多義問題,動態計算向量,"向量隨環境變化，同一個字在不同句子中會有不同向量（如 ELMo, BERT）。",提升語意理解的精準度。,精確區分「銀行」是金融機構還是河岸。,,,,,,,
407,中科三,訓練模式,-,跳字模型,Skip-gram,-,FALSE,學習詞向量,用中心詞預測周圍詞,Word2Vec 的一種方法，給定一個單字，讓模型猜測其前後可能出現的詞。,在稀有詞處理上表現較佳。,看到「台灣」預測出「台北」、「珍珠奶茶」。,,,,,,,
408,中科三,NLP 基礎,-,N 元組,N-grams,-,FALSE,捕捉短程關聯,滑動窗口切分,將文本切分為連續的 N 個單元（如 Bigram 為兩兩一組）。,拼寫檢查與語言模型。,統計「今天」之後出現「天氣」的機率。,,,,,,,
409,中科三,NLP 基礎,-,詞頻-逆文件頻率,Term Frequency-Inverse Document Frequency,TF-IDF,FALSE,衡量單字重要性,局部詞頻與全局稀有度乘積,一種統計方法，評估一個詞對一份文件的重要性（越在該篇常見且在別篇罕見則分數越高）。,提取文件關鍵詞與信息檢索。,從 100 篇新聞中找出最能代表「AI」這篇的特徵詞。,,,,,,,
410,中科三,知名技術,-,全局向量,Global Vectors for Word Representation,GloVe,FALSE,融合全局統計資訊,共現矩陣分解,結合全局詞彙共現統計與局部上下文窗口優點的詞向量技術。,預訓練詞向量庫。,捕捉詞彙間的線性子空間結構關係。,,,,,,,
411,中科三,知名技術,-,-,FastText,-,FALSE,處理未登錄詞 (OOV),字元級 N-gram (Subword),Meta 提出的技術，將單字拆解為子字串訓練，能有效處理拼錯字或新詞。,社交媒體文本處理。,"即使模型沒看過 ""superintelligent""，也能根據 ""super"" 和 ""intelligent"" 推導。",,,,,,,
412,中科三,知名技術,-,來自語言模型的嵌入,Embeddings from Language Models,ELMo,FALSE,實現動態詞向量,雙向 LSTM 隱層組合,首次大規模應用的動態向量技術，利用雙向 LSTM 提取上下文資訊。,解決 NLP 任務中的多義詞問題。,2018 年前最先進的語意表徵技術。,,,,,,,
413,中科三,數據結構,-,稀疏向量,Sparse Vector,-,FALSE,節省非零項存儲,大部分元素為零,"維度極高（如詞典大小），但大部分位置都是零的向量（如 One-hot, TF-IDF）。",傳統的信息檢索系統。,在 5 萬維的向量中只有 3 個位置有值。,,,,,,,
414,中科三,數據結構,-,稠密向量,Dense Vector,-,FALSE,高效表達語意,實數值填充的低維向量,"維度較低（通常 128-1024），每個位置都有實數值的向量（如 Word2Vec, BERT）。",深度學習模型輸入與向量資料庫。,將語意壓縮到一個 512 維的小空間中進行運算。,,,,,,,
415,中科三,NLP 挑戰,-,未登錄詞,Out-of-Vocabulary,OOV,FALSE,解決字典外單字問題,子字拆解或平滑化,模型訓練時未見過的單字，會導致模型無法理解該詞義。,評估模型泛化能力。,使用者輸入最新的網路流行語，模型顯示為 <UNK>。,,,,,,,
416,中科三,NLP 基礎,-,共現矩陣,Co-occurrence Matrix,-,FALSE,捕捉詞彙統計關係,鄰近詞頻度統計,紀錄詞彙在文本中共同出現次數的矩陣，是 GloVe 等模型的理論基礎。,計算詞彙相關性。,發現「咖啡」與「拿鐵」常一起出現，故語意接近。,,,,,,,
417,中科三,機器學習,-,判別式加權,Discriminative Weighting,-,FALSE,提升類別區分度,權重特徵分配,在訓練過程中為不同特徵分配權重，以最大化類別間邊界的技術。,優化分類器性能。,在垃圾郵件過濾中，給予「中獎」一詞更高的判別權重。,,,,,,,
418,中科三,NLP 基礎,永續發展與福祉,上下文表徵,Contextual Representation,-,FALSE,解決一詞多義,動態向量計算,根據單字所在環境動態生成的向量（如 BERT 輸出）。,提升語意理解精準度。,精確區分「蘋果」是指水果還是手機公司。,,,,,,,
419,中科三,NLP 基礎,-,非上下文表徵,Non-contextual Representation,-,FALSE,提供固定基礎語意,靜態 Lookup 表,無論在哪個句子，同一個字的向量永遠固定（如 Word2Vec）。,快速計算與節省資源。,傳統的關鍵字相似度比對。,,,,,,,
420,中科三,NLP 理論,-,分散式表徵,Distributed Representation,-,FALSE,捕捉細粒度語意,稠密向量映射,"將資訊分散到向量的多個維度中，每個維度代表部分特徵（如 [0.1, -0.2...]）。",實現語意運算與降維。,詞嵌入 (Word Embeddings) 的核心邏輯。,,,,,,,
421,中科三,NLP 理論,-,非分散式表徵,Non-distributed Representation,-,FALSE,離散化分類,獨熱編碼 (One-hot),每個維度代表一個獨立的、互斥的類別，向量中只有一個 1 其餘為 0。,簡單分類任務的前處理。,"將「紅、藍、綠」編碼為 [1,0,0]、[0,1,0]、[0,0,1]。",,,,,,,
422,中科三,NLP 基礎,-,向量空間模型,Vector Space Model,VSM,FALSE,實現文本相似度計算,代數運算與餘弦相似度,將文件表示為空間中的向量，利用幾何距離衡量文本間的相似性。,信息檢索與文件分類。,搜尋引擎計算使用者查詢與網頁內容的相似度。,,,,,,,
423,中科三,統計分析,-,詞頻,Term Frequency,TF,FALSE,衡量局部詞彙重要性,計數與歸一化,指特定單字在單份文件中出現的頻率。,特徵工程與關鍵詞提取。,某單字在文章中出現 10 次，代表其在該文具代表性。,,,,,,,
424,中科三,統計分析,-,逆文件頻率,Inverse Document Frequency,IDF,FALSE,衡量全局詞彙稀有度,對數運算,總文件數除以包含該詞的文件數，取對數。代表該詞的「資訊價值」。,過濾通用詞，保留關鍵詞。,「的」在所有文章都有，故 IDF 值極低。,,,,,,,
425,中科三,NLP 基礎,永續發展與福祉,常用詞抑制,Common Word Suppression,-,FALSE,減少雜訊干擾,停用詞過濾與權重調減,降低高頻但低資訊量詞彙（如 stopwords）對模型影響的技術。,提升檢索與摘要質量。,去除「而且」、「所以」等詞後再進行主題建模。,,,,,,,
426,中科三,機器學習,-,TF-IDF 加權,TF-IDF Weighting,-,FALSE,綜合評估詞彙權重,TF 乘以 IDF,結合單字的局部頻率與全局稀有度，計算其在特定文件中的權重。,文字特徵提取。,從新聞稿中自動抓取出最重要的主旨詞。,,,,,,,
427,中科三,數學優化,-,對數縮放,Logarithmic Scaling,-,FALSE,壓縮數值動態範圍,Log 函數轉換,將線性成長的數值透過 Log 轉換，縮小極端值差異。,處理詞頻分佈不均。,在 TF-IDF 或音訊處理中平滑數據分佈。,,,,,,,
428,中科三,深度學習,永續發展與福祉,分散式詞嵌入,Distributed Word Embedding,-,FALSE,提供稠密語意表示,神經網路映射,利用神經網路將詞彙映射到低維稠密空間的技術（如 Word2Vec）。,取代稀疏向量以提升效率。,所有現代深度學習 NLP 模型的底層輸入。,,,,,,,
429,中科三,NLP 理論,-,線性關係特性,Linear Relational Property,-,FALSE,實現語意代數運算,向量方向性與平移,詞向量中存在如「King - Man + Woman = Queen」的線性邏輯關係。,語意推理與關係發現。,發現模型能理解類比關係。,,,,,,,
430,中科三,數據科學,永續發展與福祉,降維技術,Dimensionality Reduction,-,FALSE,減少運算開銷,"PCA, t-SNE, UMAP",將高維數據壓縮至低維，同時保留重要特徵或結構的過程。,數據可視化與加速運算。,將 512 維的詞向量降至 2 維，以便在螢幕上觀察聚類。,,,,,,,
431,中科三,機器學習,-,語意相似度空間,Semantic Similarity Space,-,FALSE,實現概念搜尋,流形學習與歐幾里得距離,向量空間中，距離越近代表語意越相近的虛擬幾何空間。,向量資料庫檢索與推薦系統。,找出與「電動車」在語意空間中最近的詞（如「特斯拉」）。,,,,,,,
432,中科一,知名模型,永續發展與福祉,生成式預訓練變換器,Generative Pre-trained Transformer,GPT,FALSE,實現高品質文本生成,Decoder-only 預訓練,OpenAI 開發的自回歸模型(即單向Transformer Decoder)，透過預測下一個 Token 學習大規模語言規律。,對話 AI、代碼編寫、摘要。,驅動 ChatGPT 進行流暢的人機對話。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
433,中科三,模型訓練,-,自回歸預測,Autoregressive Prediction,-,FALSE,生成連貫序列,遞迴依賴預測,基於過去生成的內容來預測當前輸出，並將當前輸出作為下一次輸入。,實現長文本生成。,GPT 逐字輸出句子的過程。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
434,中科三,模型架構,-,因果遮蔽,Causal Masking,-,FALSE,防止資訊洩露,下三角矩陣遮蔽,在解碼器中，遮蔽未來 Token，確保模型預測時只能看過去的內容。,訓練生成式語言模型。,確保 GPT 生成時不會「偷看」答案。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
435,中科三,訓練模式,永續發展與福祉,預訓練與微調,Pre-training & Fine-tuning,-,FALSE,遷移通用知識至領域,兩階段學習架構,先在大數據上學通用知識，再在小規模特定數據上調整以執行特定任務。,降低特定任務開發門檻。,拿 GPT 預訓練模型微調成法律合約分析工具。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
436,中科三,訓練模式,-,下一個標記預測,Next Token Prediction,-,FALSE,學習語言生成,機率分佈最大化,語言模型最核心的訓練任務：給定前文，預測下一個出現機率最高的詞。,模型智能湧現的基礎。,AI 看到「九層塔」預測下一個詞是「炒蛋」。,,,,,,,
437,中科一,台灣組織,問責,人工智慧評測中心,Artificial Intelligence Evaluation Center,AIEC,FALSE,確保 AI 安全與合規,標準化測試與驗證,台灣成立的國家級機構，負責建立 AI 模型的安全性、準確性與倫理評測標準。,提供第三方 AI 認證標章。,企業將其 AI 系統送測以確保無資安與偏見風險。,,,,,,,
438,中科一,台灣組織,永續發展與福祉,台灣 AI 雲,Taiwan AI Cloud,TWCC,FALSE,提供國家級算力,超級電腦 (Taiwania 2),由國研院國網中心打造，提供大规模 GPU 運算資源供學術與產業進行 AI 開發。,支撐 TAIDE 等本土模型訓練。,台灣新創公司租用 TWCC 算力微調其專用模型。,,,,,,,
439,中科一,台灣組織,永續發展與福祉,國家科學及技術委員會,National Science and Technology Council,NSTC,FALSE,引領科技政策,跨部會資源整合,台灣政府科技事務的最高主管機關，負責推動台灣 AI 行動計畫與預算編列。,制定國家 AI 發展綱領。,簡稱「國科會」，主導 TAIDE 專案。,,,,,,,
440,中科一,本土模型,永續發展與福祉,台版大型語言模型,Trustworthy AI Dialogue Engine,TAIDE,FALSE,解決本土語法謬誤,繁體中文語境強化,國科會主導，以 Llama 為基礎並使用台灣在地資料（新聞、法律、公文）微調的模型。,處理具台灣文化背景的文本。,公務員利用 TAIDE 撰寫符合政府規範的公文草稿。,氣象預報：氣象報告文字自動生成；環境：民眾災害問答AI助理,智慧耕作：農民農業技術問答機器人；農業政策法規文件摘要,智慧物流：貨運文件智動摘要；客服：運輸問題AI即時回覆,製程優化：設備操作手冊問答系統；品質報告自動撰寫,金融科技：Robo-advisor個人化理財建議；智慧醫療：病歷摘要/醫療問答AI,智能客服：24H生成式AI郵件/聊天回覆；個人化購物推薦文案生成,公共安全：緊急應變知識問答機器人；消防法規自動查詢
441,中科二,數據主權,永續發展與福祉,在地資料訓練,Local Data Training,-,FALSE,降低事實幻覺,納入在地法律與稅制,TAIDE 的核心方針，確保模型熟悉台灣特有的社會制度、節慶與文化慣語。,提升模型對在地服務的準確度。,使用台灣特有的報稅規則訓練 AI 以提供正確諮詢。,,,,,,,
442,中科三,模型架構,永續發展與福祉,台灣專家混合模型,TAiwan Mixture of Experts,TMoe,FALSE,降低算力門檻,稀疏門控專家架構,國科會推動之架構。將模型拆解為多個專家 (Experts)，每次推論僅啟動部分參數。,實現高效且低成本的推論。,處理醫療與法律等多元專家任務。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
443,中科三,運作機制,透明與可解釋,門控網路,Gating Network,-,FALSE,任務分配調度,機率分流權重計算,TMoe 或 MoE 架構中的核心組件，決定輸入問題該交由哪些「專家」模型來回答。,優化推論路徑。,偵測到問題是「醫療類」時，自動分發給醫療專家模型。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
444,中科三,運作機制,永續發展與福祉,稀疏啟用,Sparse Activation,-,FALSE,節省計算資源,局部參數激活,在大型模型中，每次處理任務僅運算 5%-10% 參數的技術，與 Dense 模型相反。,降低超大型模型部署成本。,在普通伺服器上也能運行具備萬億參數邏輯的模型。,,,,,,,
445,中科三,模型微調,永續發展與福祉,領域專家微調,Domain-specific Expert Fine-tuning,-,FALSE,建立專業垂直領域 AI,專業語料對齊,針對特定行業（如半導體、醫療）進行深度的參數調整，使 AI 具備專家級知識。,垂直領域轉型應用。,讓 TAIDE 學會精準的法律條文解釋。,,,,,,,
446,中科一,系統優化,永續發展與福祉,算力成本優化,Compute Cost Optimization,-,FALSE,提升投報率 (ROI),量化、剪枝與架構優化,透過模型壓縮與調度策略，在不犧牲精度的前提下減少運算資源消耗的過程。,降低企業 AI 落地門檻。,使用量化技術將 FP16 轉為 INT8 以節省一半顯存。,,,,,,,
447,中科一,本土模型,永續發展與福祉,醫學大模型計畫,Project TAME,TAME,FALSE,打造世界級醫療 AI,跨院所醫療數據融合,由台大、台榮總等多家醫學中心聯合發起的醫療專用大語言模型計畫。,提升臨床輔助診斷效能。,AI 協助判讀病歷並給予醫師符合台灣醫療規範的建議。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
448,中科二,數據處理,-,領域專用語料庫,Domain-specific Corpus,-,FALSE,訓練專家模型,結構化專業文本集合,專門收集特定領域（如法律、金融、醫學）的高質量文本數據集。,提升模型在該領域的準確率。,收集 20 年份的台灣最高法院判決書作為訓練語料。,,,,,,,
449,中科一,本土優化,永續發展與福祉,繁體中文優化,Traditional Chinese Optimization,-,FALSE,解決語法與轉碼問題,Tokenizer 擴充與校對,針對繁體中文語法、用詞（如：品質 vs 質量）進行特定的模型優化。,提升台灣使用者的體驗。,避免 AI 在回答時出現大量簡體字或對岸用語。,,,,,,,
450,中科三,模型訓練,永續發展與福祉,持續預訓練,Continual Pre-training,-,FALSE,注入新知識,在現有權重上繼續增量訓練,在已有的預訓練模型基礎上，加入新領域數據繼續訓練，而不遺忘舊知識。,更新模型對最新時事的了解。,讓去年訓練的模型學會今年新通過的法律條文。,,,,,,,
